Name,Price,Change,"Percentage,",MarketCap,Volume Since,Volume oneday,TotalVolume,Supply
Bitcoin USD,"19,810.33","19,810.33","19,810.33",379.174B,Bitcoin USD,Bitcoin USD,Bitcoin USD,Bitcoin USD
Tether USD,1.0000,1.0000,1.0000,67.553B,Tether USD,Tether USD,Tether USD,Tether USD
BNB USD,277.33,277.33,277.33,44.744B,BNB USD,BNB USD,BNB USD,BNB USD
Cardano USD,0.483318,0.483318,0.483318,16.521B,Cardano USD,Cardano USD,Cardano USD,Cardano USD
Solana USD,31.18,31.18,31.18,10.902B,Solana USD,Solana USD,Solana USD,Solana USD
Polkadot USD,7.2755,7.2755,7.2755,8.099B,Polkadot USD,Polkadot USD,Polkadot USD,Polkadot USD
HEX USD,0.042445,0.042445,0.042445,7.36B,HEX USD,HEX USD,HEX USD,HEX USD
Shiba Inu USD,0.000012,0.000012,0.000012,6.763B,Shiba Inu USD,Shiba Inu USD,Shiba Inu USD,Shiba Inu USD
TRON USD,0.062977,0.062977,0.062977,5.818B,TRON USD,TRON USD,TRON USD,TRON USD
Lido Staked ETH USD,"1,506.70","1,506.70","1,506.70",5.255B,Lido Staked ETH USD,Lido Staked ETH USD,Lido Staked ETH USD,Lido Staked ETH USD
Wrapped Bitcoin USD,"19,811.50","19,811.50","19,811.50",4.914B,Wrapped Bitcoin USD,Wrapped Bitcoin USD,Wrapped Bitcoin USD,Wrapped Bitcoin USD
Ethereum Classic USD,32.37,32.37,32.37,4.424B,Ethereum Classic USD,Ethereum Classic USD,Ethereum Classic USD,Ethereum Classic USD
Litecoin USD,60.94,60.94,60.94,4.332B,Litecoin USD,Litecoin USD,Litecoin USD,Litecoin USD
