Title,Location,Price,Area
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,500 per month            ",155 m²
                        Apartment Gerard Doustraat                            ,            1072 VK Amsterdam (Oude Pijp)        ,"                €1,695 per month            ",44 m²
                        Apartment Karthuizersplantsoen 9                            ,            1015 LS Amsterdam (Jordaan)        ,"                €3,450 per month            ",161 m²
                        Apartment P. Hans Frankfurthersingel                            ,            1060 TN Amsterdam (Middelveldsche Akerpolder)        ,"                €1,650 per month            ",78 m²
                        Apartment Rooseveltlaan                            ,            1079 AM Amsterdam (Scheldebuurt)        ,"                €3,995 per month            ",121 m²
                        Apartment Olympiaplein                            ,            1077 CR Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",100 m²
                        Apartment Meerhuizenstraat                            ,            1078 TE Amsterdam (IJselbuurt)        ,"                €1,975 per month            ",65 m²
                        Apartment Bestevâerstraat                            ,            1055 TK Amsterdam (Landlust)        ,"                €1,750 per month            ",60 m²
                        Apartment Leusdenhof                            ,            1108 CS Amsterdam (Nellestein)        ,"                €1,900 per month            ",80 m²
                        Apartment Baarsjesweg                            ,            1058 AD Amsterdam (Westindische Buurt)        ,"                €2,800 per month            ",50 m²
                        Apartment Kanaalstraat 14 2                            ,            1054 XH Amsterdam (Helmersbuurt)        ,"                €1,850 per month            ",50 m²
                        Apartment Rooseveltlaan                            ,            1079 AB Amsterdam (Scheldebuurt)        ,"                €3,000 per month            ",143 m²
                        Apartment Rietnesse 8 III                            ,            1082 CG Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",64 m²
                        Apartment Hemonystraat 42 III                            ,            1074 BS Amsterdam (Oude Pijp)        ,"                €2,350 per month            ",97 m²
                        Apartment Tintorettostraat 17 hs                            ,            1077 RN Amsterdam (Apollobuurt)        ,"                €4,250 per month            ",145 m²
                        Apartment Julius Pergerstraat                            ,            1087 KN Amsterdam (IJburg Zuid)        ,"                €1,600 per month            ",84 m²
                        Apartment Bestevâerstraat 244 1                            ,            1055 TT Amsterdam (Landlust)        ,"                €1,750 per month            ",59 m²
                        Apartment Eerste Van der Helststraat 1 A14                            ,            1073 AA Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",75 m²
                        Studio Ridderspoorweg                            ,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",40 m²
                        Studio Maassluisstraat 256 A                            ,            1062 GL Amsterdam (Westlandgracht)        ,"                €1,400 per month            ",42 m²
                        Apartment Rapenburgerstraat 73 E4                            ,            1011 VK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",75 m²
                        Apartment Kastelenstraat 255 1                            ,            1082 EG Amsterdam (Buitenveldert-West)        ,"                €1,800 per month            ",75 m²
                        Apartment Kleiburg 808                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",70 m²
                        Apartment Govert Flinckstraat 316 D                            ,            1073 CJ Amsterdam (Oude Pijp)        ,"                €3,500 per month            ",170 m²
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,488 per month            ",49 m²
                        Apartment Bestevâerstraat                            ,            1056 HH Amsterdam (Geuzenbuurt)        ,"                €2,750 per month            ",97 m²
                        Apartment Gustav Mahlerlaan 240                            ,            1082 ME Amsterdam (Zuidas)        ,"                €3,500 per month            ",117 m²
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,900 per month            ",73 m²
                        House Tolstraat                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €2,500 per month            ",82 m²
                        Apartment Hoofdweg                            ,            1056 CR Amsterdam (Van Galenbuurt)        ,"                €2,500 per month            ",83 m²
                        Apartment Amazonenstraat                            ,            1076 LL Amsterdam (Stadionbuurt)        ,"                €2,475 per month            ",78 m²
